"title","author","genre","rating","img","numRater","type","price"
"The Five Love Languages","Gary Chapman","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/51WwBKC6X%2BL._AC_UL200_SR200,200_.jpg","14138","Audible Audiobook"," Free with Audible trial"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/91RRIs2ihuL._AC_UL200_SR200,200_.jpg","1234","Audible Audiobook"," Free with Audible trial"
"The Power of Now","Eckhart Tolle","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/51e6i6sF9wL._AC_UL200_SR200,200_.jpg","5839","Audible Audiobook"," Free with Audible trial"
"Stress Less, Accomplish More","Emily Fletcher","Religion","5.0","https://images-na.ssl-images-amazon.com/images/I/717YOlKa1HL._AC_UL200_SR200,200_.jpg","77","Hardcover","16.19"
"It's Not Supposed to Be This Way","Lysa TerKeurst","Religion","4.8","https://images-na.ssl-images-amazon.com/images/I/81SEcvfK7QL._AC_UL200_SR200,200_.jpg","391","Audible Audiobook"," Free with Audible trial"
"Stress Less, Accomplish More","Emily Fletcher","Religion","5.0","https://images-na.ssl-images-amazon.com/images/I/71r4OkHna%2BL._AC_UL200_SR200,200_.jpg","77","Audible Audiobook"," Free with Audible trial"
"When I Pray for You","Matthew Paul Turner","Religion","4.9","https://images-na.ssl-images-amazon.com/images/I/A1qZ9BL2LtL._AC_UL200_SR200,200_.jpg","119","Hardcover","8.54"
"Attempt to Locate (Lantern Beach P.D. Book 2)","Christy Barritt","Religion","5.0","https://images-na.ssl-images-amazon.com/images/I/814EGMLQm1L._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","12","Kindle Edition","0.99"
"The Tattooist of Auschwitz","Heather Morris","Religion","4.6","https://images-na.ssl-images-amazon.com/images/I/81XAhkfzn-L._AC_UL200_SR200,200_.jpg","1234","Paperback","10.43"
"The Complete Holy Bible - KJV","Topics Media Group","Religion","4.5","https://images-na.ssl-images-amazon.com/images/I/91OMNpY0wsL._AC_UL200_SR200,200_.jpg","1510","Audible Audiobook"," Free with Audible trial"
"Call the Nurse","Mary J MacLeod","Religion","4.4","https://images-na.ssl-images-amazon.com/images/I/81kUwR1z0aL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1317","Kindle Edition","1.99"
"The Total Money Makeover","Dave Ramsey","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/512RzrzTb0L._AC_UL200_SR200,200_.jpg","6214","Hardcover","16.19"
"Man's Search for Meaning","Viktor E. Frankl","Religion","4.7","https://images-na.ssl-images-amazon.com/images/I/51Qbao88shL._AC_UL200_SR200,200_.jpg","4525","Audible Audiobook"," Free with Audible trial"
"Justice Comes Home (The Texas Riders Western) (A Western Frontier Fiction)","Joseph Powell","Religion","4.3","https://images-na.ssl-images-amazon.com/images/I/A1SpgXhnecL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","46","Kindle Edition","0.99"
